,demand_site,crop,proportion,crop_type,default_expression,time_series
43,Maricopa_Water_District,Alfalfa_haylage,0.008665021,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Alfalfa.xlsx, A3:B12))*0.24",0
44,Maricopa_Water_District,Corn_silage,0.112853844,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Corn.xlsx, A3:B12))*0.9553",0
45,Maricopa_Water_District,Corn_grain,0.00528061,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Corn.xlsx, A3:B12))*0.0447",0
46,Maricopa_Water_District,Barley,0.0907923,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Barley.xlsx, A3:B12))",0
47,Maricopa_Water_District,Cotton,0.016777922,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Cotton.xlsx, A3:B12))",0
48,Maricopa_Water_District,Durum_Wheat,0.114963355,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Durum Wheat.xlsx, A3:B12))",0
49,Maricopa_Water_District,Potatoes,0.466481615,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Potatoes.xlsx, A3:B12))",0
50,Maricopa_Water_District,Sorghum_grain,0.014632967,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Sorghum.xlsx, A3:B12))*0.1898",0
51,Maricopa_Water_District,Sugarbeets,0.014632967,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Sugarbeets.xlsx, A3:B12))",0
52,Maricopa_Water_District,Winter_Wheat,0.014632967,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Winter Wheat.xlsx, A3:B12))",0
53,Maricopa_Water_District,Other_Hay,0.014632967,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Other Hay.xlsx, A3:B12))",0
54,Maricopa_Water_District,Sorghum_silage,0.014632967,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Sorghum.xlsx, A3:B12))*0.8102",0
55,Maricopa_Water_District,VegFruit,0.014632967,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_VegFruit.xlsx, A3:B12))",0
56,New_Magma,Alfalfa_hay,0.133597193,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Alfalfa.xlsx, A3:B12))*0.816",0
57,New_Magma,Alfalfa_haylage,0.030124857,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Alfalfa.xlsx, A3:B12))*0.184",0
58,New_Magma,Corn_silage,0.098134109,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Corn.xlsx, A3:B12))*0.9125",0
59,New_Magma,Corn_grain,0.00941012,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Corn.xlsx, A3:B12))*0.0875",0
60,New_Magma,Barley,0.138047135,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Barley.xlsx, A3:B12))",0
61,New_Magma,Upland_Cotton,0.230225537,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Cotton.xlsx, A3:B12))*0.9678",0
62,New_Magma,Pima_Cotton,0.007659911,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Cotton.xlsx, A3:B12))*0.0322",0
63,New_Magma,Durum_Wheat,0.150665108,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Durum Wheat.xlsx, A3:B12))",0
64,New_Magma,Potatoes,0.035091221,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Potatoes.xlsx, A3:B12))",0
65,New_Magma,Sorghum_grain,0.02400349,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Sorghum.xlsx, A3:B12))*0.5291",0
66,New_Magma,Sugarbeets,0.02400349,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Sugarbeets.xlsx, A3:B12))",0
67,New_Magma,Winter_Wheat,0.02400349,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Winter Wheat.xlsx, A3:B12))",0
68,New_Magma,Other_Hay,0.02400349,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Other Hay.xlsx, A3:B12))",0
69,New_Magma,Sorghum_silage,0.02400349,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Sorghum.xlsx, A3:B12))*0.4709",0
70,New_Magma,VegFruit,0.02400349,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_VegFruit.xlsx, A3:B12))",0
71,Peninsula,Alfalfa_hay,0.004371236,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Alfalfa.xlsx, A3:B12))*0.760",0
72,Peninsula,Alfalfa_haylage,0.00138039,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Alfalfa.xlsx, A3:B12))*0.24",0
73,Peninsula,Corn_silage,0.002422716,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Corn.xlsx, A3:B12))*0.9553",0
74,Peninsula,Corn_grain,0.000221907,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Corn.xlsx, A3:B12))*0.0447",0
75,Peninsula,Barley,0.003064668,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Barley.xlsx, A3:B12))",0
