,year,cotton,alfalfa,corn,barley,durum,veg,remaining,i,value,loop,type
24,2015,0.062465308094292925,0.5974942084147792,0.057617017489247635,0.029201926235521463,0.12550516781020238,0.10522843799689076,0.022487933959065703,0,85.0,0,MPM
25,2016,0.05918629523105875,0.6145036088604706,0.09304390154752992,0.02306864457733077,0.06485839595224338,0.11589361110814017,0.029445542723226407,0,85.0,0,MPM
26,2017,0.07876651792629306,0.5903938552599516,0.0865902431359837,0.03824019659044759,0.05358766139491835,0.11993471755535533,0.03248680813705048,0,85.0,0,MPM
27,2018,0.1010065352593478,0.5584984339109654,0.1048701707596624,0.056651753842206574,0.04121793712241337,0.12425758933243287,0.01349757977297173,0,85.0,0,MPM
28,2019,0.2951824846235757,0.2309679392328929,0.09802750126030213,0.1668339152306281,0.08788212827089112,0.08390135969927012,0.03720467168243995,0,85.0,0,MPM
29,2020,0.2793445385802583,0.24101408765101165,0.10137567311262073,0.1719001617194944,0.08676681277571463,0.08464214889158456,0.034956577269315774,0,85.0,0,MPM
30,2021,0.2636999334004013,0.25095767025012783,0.10464169680626097,0.1772648065007067,0.08543162299475354,0.08525295177177256,0.03275131827597719,0,85.0,0,MPM
31,2022,0.2483196583938805,0.26073131981187736,0.1078038503419336,0.18294630978912935,0.08387657381233879,0.08572715688621861,0.030595130964621693,0,85.0,0,MPM
32,2023,0.23327045676245695,0.2702660033055786,0.11084062614897328,0.18896481516692695,0.08210440573825561,0.0860594479260241,0.028494244951784424,0,85.0,0,MPM
33,2024,0.218613738809488,0.2794920013659538,0.11373104394182915,0.1953419789289919,0.08012061611371184,0.0862458885328472,0.026454732307178173,0,85.0,0,MPM
34,2025,0.2044046720869635,0.28833994301206306,0.11645495585597695,0.20210065909873348,0.07793342838081105,0.08628397746519398,0.024482364100257944,0,85.0,0,MPM
35,2026,0.19069150336038185,0.2967418502001177,0.11899333651273965,0.209264452379318,0.07555370452527467,0.08617267205632191,0.022582480965846318,0,85.0,0,MPM
36,2027,0.17751509692985798,0.3046322289676083,0.12132856511362125,0.2168570276433132,0.07299480766567426,0.08591239226166136,0.020759881418263525,0,85.0,0,MPM
37,2028,0.16490873323421434,0.3119491599445406,0.1234446981127338,0.2249012511664767,0.07027242022786895,0.08550500536036934,0.019018731953796324,0,85.0,0,MPM
38,2029,0.15289811228655395,0.31863545794895404,0.1253277471178197,0.2334180410925231,0.06740433260099786,0.08495380961717748,0.017362499335974082,0,85.0,0,MPM
