,branch,variable-name,type
165,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Oasis WTP,Final Energy Intensity Time Sliced,input
166,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix 24th St WTP,Activity Level,input
167,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix 24th St WTP,Final Energy Intensity Time Sliced,input
168,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Activity Level,input
169,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Final Energy Intensity Time Sliced,input
170,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Tempe Martinez WTP,Activity Level,input
171,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Tempe Martinez WTP,Final Energy Intensity Time Sliced,input
172,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\South Tempe WTP,Activity Level,input
173,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\South Tempe WTP,Final Energy Intensity Time Sliced,input
174,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Activity Level,input
175,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Final Energy Intensity Time Sliced,input
176,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Gilbert WTP,Activity Level,input
177,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Gilbert WTP,Final Energy Intensity Time Sliced,input
178,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Chandler WTP,Activity Level,input
179,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Chandler WTP,Final Energy Intensity Time Sliced,input
180,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Verde WTP,Activity Level,input
181,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Verde WTP,Final Energy Intensity Time Sliced,input
182,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Pumping,Activity Level,input
183,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Pumping,Final Energy Intensity Time Sliced,input
184,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Treatment and distribution,Activity Level,input
185,Demand\Industrial\Water infrastructure\Industrial\Groundwater\Treatment and distribution,Final Energy Intensity Time Sliced,input
186,Demand\Industrial\Water infrastructure\WWTP\Wastewater treatment and pumping\WWTP,Activity Level,input
187,Demand\Industrial\Water infrastructure\WWTP\Wastewater treatment and pumping\WWTP,Final Energy Intensity Time Sliced,input
188,Demand\Industrial\Water infrastructure\WWTP\Reclaimed water treatment and pumping\WRF,Activity Level,input
189,Demand\Industrial\Water infrastructure\WWTP\Reclaimed water treatment and pumping\WRF,Final Energy Intensity Time Sliced,input
190,Transformation\Electricity generation,Optimize,input
191,Transformation\Electricity generation,Planning Reserve Margin,input
192,Transformation\Electricity generation,Unmet Requirements,input
193,Resources\Primary\Hydro,Resource Imports,input
194,Resources\Primary\Hydro,Resource Exports,input
195,Resources\Primary\Hydro,Unmet Requirements,input
196,Resources\Primary\Coal Sub bituminous,Resource Imports,input
197,Resources\Primary\Coal Sub bituminous,Resource Exports,input
198,Resources\Primary\Coal Sub bituminous,Unmet Requirements,input
199,Resources\Primary\Coal Sub bituminous,Additions to Reserves,input
200,Resources\Primary\Nuclear,Resource Imports,input
201,Resources\Primary\Nuclear,Resource Exports,input
202,Resources\Primary\Nuclear,Unmet Requirements,input
203,Resources\Primary\Nuclear,Additions to Reserves,input
204,Resources\Primary\Solar,Resource Imports,input
205,Resources\Primary\Solar,Resource Exports,input
206,Resources\Primary\Solar,Unmet Requirements,input
207,Resources\Primary\Wind,Resource Imports,input
208,Resources\Primary\Wind,Resource Exports,input
209,Resources\Primary\Wind,Unmet Requirements,input
