,branch,variable,expression
67,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from CAP Withdrawal:Flow[m^3]))*1028*0.000810714
68,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Bouse Hills,Activity Level,100
69,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from CAP Withdrawal:Flow[m^3])) *147*0.000810714
70,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Little Harquahala,Activity Level,100
71,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from CAP Withdrawal:Flow[m^3])) *143*0.000810714
72,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Hassayampa,Activity Level,100
73,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,0.6129*(WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from CAP Withdrawal:Flow[m^3])) *242*0.000810714
74,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Waddell,Activity Level,100
75,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,0.3871*(WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from CAP Withdrawal:Flow[m^3])) *242*0.000810714
76,Demand\Industrial\Water infrastructure\Agricultural\CAP\Pumping in irrigation districts\Pumping in irrigation districts,Activity Level,100
